ip.src,ip.dst,ip.len,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
192.168.1.42,8.8.8.8,78,17,,,59641,53
8.8.8.8,192.168.1.42,198,17,,,53,59641
192.168.1.42,20.42.65.84,52,6,16126,443,,
20.42.65.84,192.168.1.42,52,6,443,16126,,
192.168.1.42,20.42.65.84,40,6,16126,443,,
192.168.1.42,20.42.65.84,557,6,16126,443,,
20.42.65.84,192.168.1.42,139,6,443,16126,,
192.168.1.42,20.42.65.84,477,6,16126,443,,
20.42.65.84,192.168.1.42,1492,6,443,16126,,
20.42.65.84,192.168.1.42,1492,6,443,16126,,
20.42.65.84,192.168.1.42,1492,6,443,16126,,
20.42.65.84,192.168.1.42,219,6,443,16126,,
192.168.1.42,20.42.65.84,40,6,16126,443,,
192.168.1.42,20.42.65.84,1480,6,16126,443,,
192.168.1.42,20.42.65.84,610,6,16126,443,,
20.42.65.84,192.168.1.42,40,6,443,16126,,
20.42.65.84,192.168.1.42,143,6,443,16126,,
192.168.1.42,20.42.65.84,40,6,16126,443,,
49.44.216.33,192.168.1.42,59,17,,,443,56755
49.44.216.33,192.168.1.42,59,17,,,443,56755
192.168.1.42,49.44.216.33,61,17,,,56755,443
20.42.65.84,192.168.1.42,506,6,443,16126,,
192.168.1.42,20.42.65.84,40,6,16126,443,,
192.168.1.42,20.42.65.84,64,6,16126,443,,
192.168.1.42,20.42.65.84,40,6,16126,443,,
49.44.216.33,192.168.1.42,52,17,,,443,56755
20.42.65.84,192.168.1.42,40,6,443,16126,,
49.44.216.33,192.168.1.42,52,17,,,443,56755
192.168.1.42,49.44.216.33,63,17,,,56755,443
192.168.1.42,49.44.216.33,63,17,,,56755,443
192.168.1.42,35.174.127.31,279,6,13713,443,,
35.174.127.31,192.168.1.42,303,6,443,13713,,
192.168.1.42,35.174.127.31,40,6,13713,443,,
192.168.1.42,49.44.185.13,1274,17,,,51673,443
192.168.1.42,49.44.185.13,1278,17,,,51673,443
192.168.1.42,49.44.185.13,139,17,,,51673,443
49.44.185.13,192.168.1.42,152,17,,,443,51673
49.44.185.13,192.168.1.42,1274,17,,,443,51673
