ip.src,ip.dst,ip.len,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,timestamp
49.44.137.82,192.168.1.33,58,17,0,0,443,65362,2025-04-17 13:22:02
49.44.137.82,192.168.1.33,58,17,0,0,443,65362,2025-04-17 13:22:02
49.44.137.82,192.168.1.33,245,17,0,0,443,65362,2025-04-17 13:22:02
49.44.137.82,192.168.1.33,1480,17,0,0,443,65362,2025-04-17 13:22:02
49.44.137.82,192.168.1.33,1480,17,0,0,443,65362,2025-04-17 13:22:02
49.44.137.82,192.168.1.33,1480,17,0,0,443,65362,2025-04-17 13:22:02
49.44.137.82,192.168.1.33,1480,17,0,0,443,65362,2025-04-17 13:22:02
49.44.137.82,192.168.1.33,1480,17,0,0,443,65362,2025-04-17 13:22:02
49.44.137.82,192.168.1.33,1480,17,0,0,443,65362,2025-04-17 13:22:02
49.44.137.82,192.168.1.33,1480,17,0,0,443,65362,2025-04-17 13:22:02
