ip.src,ip.dst,ip.len,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,Label
192.168.1.42,49.44.185.13,1273.0,17.0,,,51673.0,443.0,0
192.168.1.42,49.44.185.13,1278.0,17.0,,,51673.0,443.0,0
192.168.1.42,49.44.185.13,144.0,17.0,,,51673.0,443.0,0
49.44.185.13,192.168.1.42,153.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1273.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
192.168.1.42,49.44.185.13,66.0,17.0,,,51673.0,443.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
192.168.1.42,49.44.185.13,62.0,17.0,,,51673.0,443.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
49.44.185.13,192.168.1.42,1278.0,17.0,,,443.0,51673.0,0
